Year,NOC,strong_point,hhi,award_rate,host,participate_num,history_performance
1948,CUB,2,1.0,0.018867924528301886,GBR,53,0.3333333333333333
1952,CUB,2,0.0,0.0,FIN,29,0.3333333333333333
1956,CUB,2,0.0,0.0,AUS,16,0.3333333333333333
1960,CUB,2,0.0,0.0,ITA,12,0.0
1964,CUB,3,1.0,0.037037037037037035,JPN,27,0.3333333333333333
1968,CUB,3,0.5,0.017391304347826087,MEX,115,1.0
1972,CUB,3,0.46875,0.029197080291970802,FRG,137,2.6666666666666665
1976,CUB,3,0.4437869822485207,0.057692307692307696,CAN,156,5.666666666666667
1980,CUB,3,0.32500000000000007,0.07389162561576355,URS,203,10.0
1984,CUB,3,0.0,0.0,USA,0,8.333333333333334
1988,CUB,3,0.0,0.0,KOR,0,5.0
1992,CUB,3,0.19458896982310092,0.125,ESP,176,7.333333333333333
1996,CUB,3,0.17440000000000003,0.07317073170731707,USA,164,11.333333333333334
2000,CUB,3,0.15814506539833534,0.08296943231441048,AUS,229,17.666666666666668
2004,CUB,3,0.19067215363511658,0.11920529801324503,GRE,151,16.333333333333332
2008,CUB,3,0.22569444444444442,0.0949367088607595,CHN,158,17.333333333333332
2012,CUB,3,0.1836734693877551,0.08256880733944955,GBR,109,14.0
2016,CUB,3,0.38842975206611563,0.05128205128205128,BRA,117,10.0
2020,CUB,3,0.2088888888888889,0.21739130434782608,JPN,69,10.0
2024,CUB,3,0.3827160493827161,0.11475409836065574,FRA,61,9.333333333333334
1896,CYP,0,0.0,0.0,GRE,0,0.0
1900,CYP,0,0.0,0.0,FRA,0,0.0
1904,CYP,0,0.0,0.0,USA,0,0.0
1908,CYP,0,0.0,0.0,GBR,0,0.0
1912,CYP,0,0.0,0.0,SWE,0,0.0
1920,CYP,0,0.0,0.0,BEL,0,0.0
1924,CYP,0,0.0,0.0,FRA,0,0.0
1928,CYP,0,0.0,0.0,NED,0,0.0
1932,CYP,0,0.0,0.0,USA,0,0.0
1936,CYP,0,0.0,0.0,GER,0,0.0
1948,CYP,0,0.0,0.0,GBR,0,0.0
1952,CYP,0,0.0,0.0,FIN,0,0.0
1956,CYP,0,0.0,0.0,AUS,0,0.0
1960,CYP,0,0.0,0.0,ITA,0,0.0
1964,CYP,0,0.0,0.0,JPN,0,0.0
1968,CYP,0,0.0,0.0,MEX,0,0.0
1972,CYP,0,0.0,0.0,FRG,0,0.0
1976,CYP,0,0.0,0.0,CAN,0,0.0
1980,CYP,0,0.0,0.0,URS,14,0.0
1984,CYP,0,0.0,0.0,USA,10,0.0
1988,CYP,0,0.0,0.0,KOR,9,0.0
1992,CYP,0,0.0,0.0,ESP,17,0.0
1996,CYP,0,0.0,0.0,USA,17,0.0
2000,CYP,0,0.0,0.0,AUS,22,0.0
2004,CYP,0,0.0,0.0,GRE,20,0.0
2008,CYP,0,0.0,0.0,CHN,17,0.0
2012,CYP,1,1.0,0.07692307692307693,GBR,13,0.3333333333333333
2016,CYP,1,0.0,0.0,BRA,15,0.3333333333333333
2020,CYP,1,0.0,0.0,JPN,15,0.3333333333333333
2024,CYP,1,1.0,0.06666666666666667,FRA,15,0.3333333333333333
1896,CZE,0,0.0,0.0,GRE,0,0.0
1900,CZE,0,0.0,0.0,FRA,0,0.0
1904,CZE,0,0.0,0.0,USA,0,0.0
1908,CZE,0,0.0,0.0,GBR,0,0.0
1912,CZE,0,0.0,0.0,SWE,0,0.0
1920,CZE,0,0.0,0.0,BEL,0,0.0
1924,CZE,0,0.0,0.0,FRA,0,0.0
1928,CZE,0,0.0,0.0,NED,0,0.0
1932,CZE,0,0.0,0.0,USA,0,0.0
1936,CZE,0,0.0,0.0,GER,0,0.0
1948,CZE,0,0.0,0.0,GBR,0,0.0
1952,CZE,0,0.0,0.0,FIN,0,0.0
1956,CZE,0,0.0,0.0,AUS,0,0.0
1960,CZE,0,0.0,0.0,ITA,0,0.0
1964,CZE,0,0.0,0.0,JPN,0,0.0
1968,CZE,0,0.0,0.0,MEX,0,0.0
1972,CZE,0,0.0,0.0,FRG,0,0.0
1976,CZE,0,0.0,0.0,CAN,0,0.0
1980,CZE,0,0.0,0.0,URS,0,0.0
1984,CZE,0,0.0,0.0,USA,0,0.0
1988,CZE,0,0.0,0.0,KOR,0,0.0
1992,CZE,0,0.0,0.0,ESP,0,0.0
1996,CZE,3,0.3223140495867768,0.06956521739130435,USA,115,3.0
2000,CZE,3,0.21875,0.05042016806722689,AUS,119,5.0
2004,CZE,3,0.20987654320987653,0.056338028169014086,GRE,142,7.666666666666667
2008,CZE,3,0.3333333333333333,0.029850746268656716,CHN,134,6.333333333333333
2012,CZE,3,0.16000000000000006,0.06015037593984962,GBR,133,7.0
2016,CZE,3,0.22000000000000003,0.08653846153846154,BRA,104,7.333333333333333
2020,CZE,2,0.15702479338842976,0.09565217391304348,JPN,115,9.333333333333334
2024,CZE,2,0.28,0.04504504504504504,FRA,111,8.333333333333334
1896,DEN,3,0.3888888888888889,0.6666666666666666,GRE,3,6.0
1900,DEN,2,0.38775510204081637,0.38461538461538464,FRA,13,6.0
1904,DEN,2,0.0,0.0,USA,0,4.0
1908,DEN,3,0.44,0.05128205128205128,GBR,78,3.3333333333333335
1912,DEN,3,0.1527777777777778,0.047619047619047616,SWE,147,3.6666666666666665
1920,DEN,3,0.17159763313609472,0.0728476821192053,BEL,151,7.666666666666667
1924,DEN,3,0.17355371900826444,0.11235955056179775,FRA,89,9.666666666666666
1928,DEN,2,0.3333333333333333,0.054945054945054944,NED,91,9.333333333333334
1932,DEN,3,0.1875,0.16279069767441862,USA,43,7.666666666666667
1936,DEN,3,0.28,0.01652892561983471,GER,121,5.0
1948,DEN,3,0.11570247933884298,0.11875,GBR,160,10.0
1952,DEN,3,0.16666666666666669,0.03125,FIN,128,9.0
1956,DEN,3,0.375,0.05405405405405406,AUS,37,9.0
1960,DEN,3,0.3888888888888889,0.030303030303030304,ITA,99,3.3333333333333335
1964,DEN,3,0.2777777777777778,0.06666666666666667,JPN,60,3.3333333333333335
1968,DEN,3,0.34375,0.08064516129032258,MEX,62,4.333333333333333
1972,DEN,3,1.0,0.007936507936507936,FRG,126,3.3333333333333335
1976,DEN,3,0.5555555555555556,0.045454545454545456,CAN,66,3.0
1980,DEN,3,0.28,0.05172413793103448,URS,58,2.3333333333333335
1984,DEN,3,0.2777777777777778,0.06666666666666667,USA,60,3.6666666666666665
1988,DEN,3,0.375,0.038461538461538464,KOR,78,3.6666666666666665
1992,DEN,3,0.2222222222222222,0.027522935779816515,ESP,109,3.6666666666666665
1996,DEN,3,0.2222222222222222,0.03361344537815126,USA,119,3.3333333333333335
2000,DEN,3,0.16666666666666669,0.030927835051546393,AUS,97,3.3333333333333335
2004,DEN,3,0.1875,0.06521739130434782,GRE,92,4.333333333333333
2008,DEN,3,0.18367346938775508,0.07142857142857142,CHN,84,5.0
2012,DEN,3,0.2345679012345679,0.07079646017699115,GBR,113,6.666666666666667
2016,DEN,3,0.1288888888888889,0.1111111111111111,BRA,117,9.333333333333334
2020,DEN,2,0.15702479338842973,0.08333333333333333,JPN,108,11.0
2024,DEN,2,0.13580246913580246,0.0546875,FRA,128,10.666666666666666
1896,DJI,0,0.0,0.0,GRE,0,0.0
1900,DJI,0,0.0,0.0,FRA,0,0.0
1904,DJI,0,0.0,0.0,USA,0,0.0
1908,DJI,0,0.0,0.0,GBR,0,0.0
1912,DJI,0,0.0,0.0,SWE,0,0.0
1920,DJI,0,0.0,0.0,BEL,0,0.0
1924,DJI,0,0.0,0.0,FRA,0,0.0
1928,DJI,0,0.0,0.0,NED,0,0.0
1932,DJI,0,0.0,0.0,USA,0,0.0
1936,DJI,0,0.0,0.0,GER,0,0.0
1948,DJI,0,0.0,0.0,GBR,0,0.0
1952,DJI,0,0.0,0.0,FIN,0,0.0
1956,DJI,0,0.0,0.0,AUS,0,0.0
1960,DJI,0,0.0,0.0,ITA,0,0.0
1964,DJI,0,0.0,0.0,JPN,0,0.0
1968,DJI,0,0.0,0.0,MEX,0,0.0
1972,DJI,0,0.0,0.0,FRG,0,0.0
1976,DJI,0,0.0,0.0,CAN,0,0.0
1980,DJI,0,0.0,0.0,URS,0,0.0
1984,DJI,0,0.0,0.0,USA,3,0.0
1988,DJI,1,1.0,0.16666666666666666,KOR,6,0.3333333333333333
1992,DJI,1,0.0,0.0,ESP,8,0.3333333333333333
1996,DJI,1,0.0,0.0,USA,5,0.3333333333333333
2000,DJI,1,0.0,0.0,AUS,2,0.0
2004,DJI,1,0.0,0.0,GRE,0,0.0
2008,DJI,1,0.0,0.0,CHN,2,0.0
2012,DJI,1,0.0,0.0,GBR,4,0.0
2016,DJI,1,0.0,0.0,BRA,7,0.0
2020,DJI,1,0.0,0.0,JPN,4,0.0
2024,DJI,1,0.0,0.0,FRA,7,0.0
1896,DMA,0,0.0,0.0,GRE,0,0.0
1900,DMA,0,0.0,0.0,FRA,0,0.0
1904,DMA,0,0.0,0.0,USA,0,0.0
1908,DMA,0,0.0,0.0,GBR,0,0.0
1912,DMA,0,0.0,0.0,SWE,0,0.0
1920,DMA,0,0.0,0.0,BEL,0,0.0
1924,DMA,0,0.0,0.0,FRA,0,0.0
1928,DMA,0,0.0,0.0,NED,0,0.0
1932,DMA,0,0.0,0.0,USA,0,0.0
1936,DMA,0,0.0,0.0,GER,0,0.0
1948,DMA,0,0.0,0.0,GBR,0,0.0
1952,DMA,0,0.0,0.0,FIN,0,0.0
1956,DMA,0,0.0,0.0,AUS,0,0.0
1960,DMA,0,0.0,0.0,ITA,0,0.0
1964,DMA,0,0.0,0.0,JPN,0,0.0
1968,DMA,0,0.0,0.0,MEX,0,0.0
1972,DMA,0,0.0,0.0,FRG,0,0.0
1976,DMA,0,0.0,0.0,CAN,0,0.0
1980,DMA,0,0.0,0.0,URS,0,0.0
1984,DMA,0,0.0,0.0,USA,0,0.0
1988,DMA,0,0.0,0.0,KOR,0,0.0
1992,DMA,0,0.0,0.0,ESP,0,0.0
1996,DMA,0,0.0,0.0,USA,6,0.0
2000,DMA,0,0.0,0.0,AUS,4,0.0
2004,DMA,0,0.0,0.0,GRE,2,0.0
2008,DMA,0,0.0,0.0,CHN,2,0.0
2012,DMA,0,0.0,0.0,GBR,2,0.0
2016,DMA,0,0.0,0.0,BRA,2,0.0
2020,DMA,0,0.0,0.0,JPN,2,0.0
2024,DMA,1,1.0,0.25,FRA,4,0.3333333333333333
1896,DOM,0,0.0,0.0,GRE,0,0.0
1900,DOM,0,0.0,0.0,FRA,0,0.0
1904,DOM,0,0.0,0.0,USA,0,0.0
1908,DOM,0,0.0,0.0,GBR,0,0.0
1912,DOM,0,0.0,0.0,SWE,0,0.0
1920,DOM,0,0.0,0.0,BEL,0,0.0
1924,DOM,0,0.0,0.0,FRA,0,0.0
1928,DOM,0,0.0,0.0,NED,0,0.0
1932,DOM,0,0.0,0.0,USA,0,0.0
1936,DOM,0,0.0,0.0,GER,0,0.0
1948,DOM,0,0.0,0.0,GBR,0,0.0
1952,DOM,0,0.0,0.0,FIN,0,0.0
1956,DOM,0,0.0,0.0,AUS,0,0.0
1960,DOM,0,0.0,0.0,ITA,0,0.0
1964,DOM,0,0.0,0.0,JPN,1,0.0
1968,DOM,0,0.0,0.0,MEX,18,0.0
1972,DOM,0,0.0,0.0,FRG,5,0.0
1976,DOM,0,0.0,0.0,CAN,10,0.0
1980,DOM,0,0.0,0.0,URS,6,0.0
1984,DOM,1,1.0,0.05263157894736842,USA,19,0.3333333333333333
1988,DOM,1,0.0,0.0,KOR,16,0.3333333333333333
1992,DOM,1,0.0,0.0,ESP,32,0.3333333333333333
1996,DOM,1,0.0,0.0,USA,16,0.0
2000,DOM,1,0.0,0.0,AUS,12,0.0
2004,DOM,2,1.0,0.030303030303030304,GRE,33,0.3333333333333333
2008,DOM,3,0.5,0.08333333333333333,CHN,24,1.0
2012,DOM,3,1.0,0.030303030303030304,GBR,33,1.3333333333333333
2016,DOM,3,1.0,0.038461538461538464,BRA,26,1.3333333333333333
2020,DOM,3,0.3600000000000001,0.07575757575757576,JPN,66,2.3333333333333335
2024,DOM,3,0.5555555555555556,0.05084745762711865,FRA,59,3.0
1896,ECU,0,0.0,0.0,GRE,0,0.0
1900,ECU,0,0.0,0.0,FRA,0,0.0
1904,ECU,0,0.0,0.0,USA,0,0.0
1908,ECU,0,0.0,0.0,GBR,0,0.0
1912,ECU,0,0.0,0.0,SWE,0,0.0
1920,ECU,0,0.0,0.0,BEL,0,0.0
1924,ECU,0,0.0,0.0,FRA,3,0.0
1928,ECU,0,0.0,0.0,NED,0,0.0
1932,ECU,0,0.0,0.0,USA,0,0.0
1936,ECU,0,0.0,0.0,GER,0,0.0
1948,ECU,0,0.0,0.0,GBR,0,0.0
1952,ECU,0,0.0,0.0,FIN,0,0.0
1956,ECU,0,0.0,0.0,AUS,0,0.0
1960,ECU,0,0.0,0.0,ITA,0,0.0
1964,ECU,0,0.0,0.0,JPN,0,0.0
1968,ECU,0,0.0,0.0,MEX,15,0.0
1972,ECU,0,0.0,0.0,FRG,2,0.0
1976,ECU,0,0.0,0.0,CAN,5,0.0
1980,ECU,0,0.0,0.0,URS,12,0.0
1984,ECU,0,0.0,0.0,USA,11,0.0
1988,ECU,0,0.0,0.0,KOR,13,0.0
1992,ECU,0,0.0,0.0,ESP,13,0.0
1996,ECU,1,1.0,0.05263157894736842,USA,19,0.3333333333333333
2000,ECU,1,0.0,0.0,AUS,10,0.3333333333333333
2004,ECU,1,0.0,0.0,GRE,16,0.3333333333333333
2008,ECU,1,1.0,0.04,CHN,25,0.3333333333333333
2012,ECU,1,0.0,0.0,GBR,36,0.3333333333333333
2016,ECU,1,0.0,0.0,BRA,37,0.3333333333333333
2020,ECU,3,0.5555555555555556,0.06382978723404255,JPN,47,1.0
2024,ECU,3,0.3600000000000001,0.1,FRA,40,2.6666666666666665
1896,EGY,0,0.0,0.0,GRE,0,0.0
1900,EGY,0,0.0,0.0,FRA,0,0.0
1904,EGY,0,0.0,0.0,USA,0,0.0
1908,EGY,0,0.0,0.0,GBR,0,0.0
1912,EGY,0,0.0,0.0,SWE,0,0.0
1920,EGY,0,0.0,0.0,BEL,18,0.0
1924,EGY,0,0.0,0.0,FRA,24,0.0
1928,EGY,3,0.375,0.09375,NED,32,1.3333333333333333
1932,EGY,3,0.0,0.0,USA,0,1.3333333333333333
1936,EGY,3,1.0,0.09433962264150944,GER,53,3.0
1948,EGY,3,0.52,0.047058823529411764,GBR,85,3.0
1952,EGY,3,1.0,0.009433962264150943,FIN,106,3.3333333333333335
1956,EGY,3,0.0,0.0,AUS,3,1.6666666666666667
1960,EGY,3,0.0,0.0,ITA,0,0.3333333333333333
1964,EGY,3,0.0,0.0,JPN,72,0.0
1968,EGY,3,0.0,0.0,MEX,30,0.0
1972,EGY,3,0.0,0.0,FRG,23,0.0
1976,EGY,3,0.0,0.0,CAN,26,0.0
1980,EGY,3,0.0,0.0,URS,0,0.0
1984,EGY,3,1.0,0.008849557522123894,USA,113,0.3333333333333333
1988,EGY,3,0.0,0.0,KOR,48,0.3333333333333333
1992,EGY,3,0.0,0.0,ESP,74,0.3333333333333333
1996,EGY,3,0.0,0.0,USA,29,0.0
2000,EGY,3,0.0,0.0,AUS,88,0.0
2004,EGY,3,0.44000000000000006,0.052083333333333336,GRE,96,1.6666666666666667
2008,EGY,3,1.0,0.01,CHN,100,2.0
2012,EGY,3,0.5,0.01834862385321101,GBR,109,2.6666666666666665
2016,EGY,3,0.5555555555555556,0.025423728813559324,BRA,118,2.0
2020,EGY,3,0.2777777777777778,0.04285714285714286,JPN,140,3.6666666666666665
2024,EGY,3,0.3333333333333333,0.01935483870967742,FRA,155,4.0
1896,EOR,0,0.0,0.0,GRE,0,0.0
1900,EOR,0,0.0,0.0,FRA,0,0.0
1904,EOR,0,0.0,0.0,USA,0,0.0
1908,EOR,0,0.0,0.0,GBR,0,0.0
1912,EOR,0,0.0,0.0,SWE,0,0.0
1920,EOR,0,0.0,0.0,BEL,0,0.0
1924,EOR,0,0.0,0.0,FRA,0,0.0
1928,EOR,0,0.0,0.0,NED,0,0.0
1932,EOR,0,0.0,0.0,USA,0,0.0
1936,EOR,0,0.0,0.0,GER,0,0.0
1948,EOR,0,0.0,0.0,GBR,0,0.0
1952,EOR,0,0.0,0.0,FIN,0,0.0
1956,EOR,0,0.0,0.0,AUS,0,0.0
1960,EOR,0,0.0,0.0,ITA,0,0.0
1964,EOR,0,0.0,0.0,JPN,0,0.0
1968,EOR,0,0.0,0.0,MEX,0,0.0
1972,EOR,0,0.0,0.0,FRG,0,0.0
1976,EOR,0,0.0,0.0,CAN,0,0.0
1980,EOR,0,0.0,0.0,URS,0,0.0
1984,EOR,0,0.0,0.0,USA,0,0.0
1988,EOR,0,0.0,0.0,KOR,0,0.0
1992,EOR,0,0.0,0.0,ESP,0,0.0
1996,EOR,0,0.0,0.0,USA,0,0.0
2000,EOR,0,0.0,0.0,AUS,0,0.0
2004,EOR,0,0.0,0.0,GRE,0,0.0
2008,EOR,0,0.0,0.0,CHN,0,0.0
2012,EOR,0,0.0,0.0,GBR,0,0.0
2016,EOR,0,0.0,0.0,BRA,0,0.0
2020,EOR,0,0.0,0.0,JPN,29,0.0
2024,EOR,1,1.0,0.02702702702702703,FRA,37,0.3333333333333333
1896,ERI,0,0.0,0.0,GRE,0,0.0
1900,ERI,0,0.0,0.0,FRA,0,0.0
1904,ERI,0,0.0,0.0,USA,0,0.0
1908,ERI,0,0.0,0.0,GBR,0,0.0
1912,ERI,0,0.0,0.0,SWE,0,0.0
1920,ERI,0,0.0,0.0,BEL,0,0.0
1924,ERI,0,0.0,0.0,FRA,0,0.0
1928,ERI,0,0.0,0.0,NED,0,0.0
1932,ERI,0,0.0,0.0,USA,0,0.0
1936,ERI,0,0.0,0.0,GER,0,0.0
1948,ERI,0,0.0,0.0,GBR,0,0.0
1952,ERI,0,0.0,0.0,FIN,0,0.0
1956,ERI,0,0.0,0.0,AUS,0,0.0
1960,ERI,0,0.0,0.0,ITA,0,0.0
1964,ERI,0,0.0,0.0,JPN,0,0.0
1968,ERI,0,0.0,0.0,MEX,0,0.0
1972,ERI,0,0.0,0.0,FRG,0,0.0
1976,ERI,0,0.0,0.0,CAN,0,0.0
1980,ERI,0,0.0,0.0,URS,0,0.0
1984,ERI,0,0.0,0.0,USA,0,0.0
1988,ERI,0,0.0,0.0,KOR,0,0.0
1992,ERI,0,0.0,0.0,ESP,0,0.0
1996,ERI,0,0.0,0.0,USA,0,0.0
2000,ERI,0,0.0,0.0,AUS,3,0.0
2004,ERI,1,1.0,0.25,GRE,4,0.3333333333333333
2008,ERI,1,0.0,0.0,CHN,10,0.3333333333333333
2012,ERI,1,0.0,0.0,GBR,12,0.3333333333333333
2016,ERI,1,0.0,0.0,BRA,12,0.0
2020,ERI,1,0.0,0.0,JPN,13,0.0
2024,ERI,1,0.0,0.0,FRA,11,0.0
1896,ESA,0,0.0,0.0,GRE,0,0.0
1900,ESA,0,0.0,0.0,FRA,0,0.0
1904,ESA,0,0.0,0.0,USA,0,0.0
1908,ESA,0,0.0,0.0,GBR,0,0.0
1912,ESA,0,0.0,0.0,SWE,0,0.0
1920,ESA,0,0.0,0.0,BEL,0,0.0
1924,ESA,0,0.0,0.0,FRA,0,0.0
1928,ESA,0,0.0,0.0,NED,0,0.0
1932,ESA,0,0.0,0.0,USA,1,0.0
1936,ESA,0,0.0,0.0,GER,0,0.0
1948,ESA,0,0.0,0.0,GBR,0,0.0
1952,ESA,0,0.0,0.0,FIN,0,0.0
1956,ESA,0,0.0,0.0,AUS,0,0.0
1960,ESA,0,0.0,0.0,ITA,0,0.0
1964,ESA,0,0.0,0.0,JPN,0,0.0
1968,ESA,0,0.0,0.0,MEX,60,0.0
1972,ESA,0,0.0,0.0,FRG,11,0.0
1976,ESA,0,0.0,0.0,CAN,0,0.0
1980,ESA,0,0.0,0.0,URS,0,0.0
1984,ESA,0,0.0,0.0,USA,10,0.0
1988,ESA,0,0.0,0.0,KOR,6,0.0
1992,ESA,0,0.0,0.0,ESP,4,0.0
1996,ESA,0,0.0,0.0,USA,8,0.0
2000,ESA,0,0.0,0.0,AUS,8,0.0
2004,ESA,0,0.0,0.0,GRE,7,0.0
2008,ESA,0,0.0,0.0,CHN,11,0.0
2012,ESA,0,0.0,0.0,GBR,10,0.0
2016,ESA,0,0.0,0.0,BRA,8,0.0
2020,ESA,0,0.0,0.0,JPN,5,0.0
2024,ESA,0,0.0,0.0,FRA,8,0.0
1896,ESP,0,0.0,0.0,GRE,0,0.0
1900,ESP,1,1.0,0.1111111111111111,FRA,9,0.5
1904,ESP,0,0.0,0.0,USA,0,0.3333333333333333
1908,ESP,0,0.0,0.0,GBR,0,0.3333333333333333
1912,ESP,0,0.0,0.0,SWE,0,0.0
1920,ESP,2,0.5,0.034482758620689655,BEL,58,0.6666666666666666
1924,ESP,2,0.0,0.0,FRA,95,0.6666666666666666
1928,ESP,2,1.0,0.0125,NED,80,1.0
1932,ESP,1,1.0,0.14285714285714285,USA,7,0.6666666666666666
1936,ESP,2,0.0,0.0,GER,0,0.6666666666666666
1948,ESP,2,1.0,0.015384615384615385,GBR,65,0.6666666666666666
1952,ESP,2,1.0,0.037037037037037035,FIN,27,0.6666666666666666
1956,ESP,2,0.0,0.0,AUS,6,0.6666666666666666
1960,ESP,2,1.0,0.006993006993006993,ITA,143,0.6666666666666666
1964,ESP,2,0.0,0.0,JPN,50,0.3333333333333333
1968,ESP,2,0.0,0.0,MEX,122,0.3333333333333333
1972,ESP,2,1.0,0.0,FRG,122,0.0
1976,ESP,2,0.5,0.017699115044247787,CAN,113,0.6666666666666666
1980,ESP,3,0.22222222222222227,0.03225806451612903,URS,155,2.3333333333333335
1984,ESP,3,0.20000000000000004,0.027932960893854747,USA,179,4.0
1988,ESP,3,0.25,0.017699115044247787,KOR,226,4.666666666666667
1992,ESP,3,0.128099173553719,0.050970873786407765,ESP,412,10.0
1996,ESP,3,0.12110726643598617,0.045774647887323945,USA,284,12.666666666666666
2000,ESP,3,0.10743801652892562,0.028481012658227847,AUS,316,14.333333333333334
2004,ESP,3,0.14500000000000002,0.051118210862619806,GRE,313,13.333333333333334
2008,ESP,3,0.12962962962962962,0.03900709219858156,CHN,282,12.666666666666666
2012,ESP,3,0.12110726643598616,0.050359712230215826,GBR,278,14.666666666666666
2016,ESP,3,0.12802768166089967,0.049019607843137254,BRA,306,14.333333333333334
2020,ESP,2,0.07958477508650519,0.05089820359281437,JPN,334,16.333333333333332
2024,ESP,2,0.1111111111111111,0.0425,FRA,400,17.333333333333332
1896,EST,0,0.0,0.0,GRE,0,0.0
1900,EST,0,0.0,0.0,FRA,0,0.0
1904,EST,0,0.0,0.0,USA,0,0.0
1908,EST,0,0.0,0.0,GBR,0,0.0
1912,EST,0,0.0,0.0,SWE,0,0.0
1920,EST,2,0.5555555555555556,0.21428571428571427,BEL,14,1.0
1924,EST,3,0.3888888888888889,0.10810810810810811,FRA,37,2.3333333333333335
1928,EST,3,0.44,0.25,NED,20,4.0
1932,EST,3,0.0,0.0,USA,2,3.0
1936,EST,3,0.5510204081632654,0.15151515151515152,GER,33,4.0
1948,EST,3,0.0,0.0,GBR,0,2.3333333333333335
1952,EST,3,0.0,0.0,FIN,0,2.3333333333333335
1956,EST,3,0.0,0.0,AUS,0,0.0
1960,EST,3,0.0,0.0,ITA,0,0.0
1964,EST,3,0.0,0.0,JPN,0,0.0
1968,EST,3,0.0,0.0,MEX,0,0.0
1972,EST,3,0.0,0.0,FRG,0,0.0
1976,EST,3,0.0,0.0,CAN,0,0.0
1980,EST,3,0.0,0.0,URS,0,0.0
1984,EST,3,0.0,0.0,USA,0,0.0
1988,EST,3,0.0,0.0,KOR,0,0.0
1992,EST,3,0.5,0.05405405405405406,ESP,37,0.6666666666666666
1996,EST,3,0.0,0.0,USA,43,0.6666666666666666
2000,EST,3,0.5555555555555556,0.09090909090909091,AUS,33,1.6666666666666667
2004,EST,3,0.3333333333333333,0.023809523809523808,GRE,42,1.3333333333333333
2008,EST,3,0.5,0.0425531914893617,CHN,47,2.0
2012,EST,3,0.5,0.0625,GBR,32,1.6666666666666667
2016,EST,3,1.0,0.021739130434782608,BRA,46,1.6666666666666667
2020,EST,3,1.0,0.06060606060606061,JPN,33,1.6666666666666667
2024,EST,3,0.0,0.0,FRA,24,1.0
1896,ETH,0,0.0,0.0,GRE,0,0.0
1900,ETH,0,0.0,0.0,FRA,0,0.0
1904,ETH,0,0.0,0.0,USA,0,0.0
1908,ETH,0,0.0,0.0,GBR,0,0.0
1912,ETH,0,0.0,0.0,SWE,0,0.0
1920,ETH,0,0.0,0.0,BEL,0,0.0
1924,ETH,0,0.0,0.0,FRA,0,0.0
1928,ETH,0,0.0,0.0,NED,0,0.0
1932,ETH,0,0.0,0.0,USA,0,0.0
1936,ETH,0,0.0,0.0,GER,0,0.0
1948,ETH,0,0.0,0.0,GBR,0,0.0
1952,ETH,0,0.0,0.0,FIN,0,0.0
1956,ETH,0,0.0,0.0,AUS,12,0.0
1960,ETH,1,1.0,0.0,ITA,10,0.0
1964,ETH,1,1.0,0.0,JPN,12,0.0
1968,ETH,1,1.0,0.0,MEX,18,0.0
1972,ETH,1,1.0,0.0,FRG,31,0.0
1976,ETH,1,0.0,0.0,CAN,0,0.0
1980,ETH,1,1.0,0.024390243902439025,URS,41,0.3333333333333333
1984,ETH,1,0.0,0.0,USA,0,0.3333333333333333
1988,ETH,1,0.0,0.0,KOR,0,0.3333333333333333
1992,ETH,1,1.0,0.1,ESP,20,0.6666666666666666
1996,ETH,1,1.0,0.0,USA,18,0.6666666666666666
2000,ETH,1,1.0,0.038461538461538464,AUS,26,1.0
2004,ETH,1,1.0,0.15384615384615385,GRE,26,2.0
2008,ETH,1,1.0,0.07407407407407407,CHN,27,2.6666666666666665
2012,ETH,1,1.0,0.06060606060606061,GBR,33,3.0
2016,ETH,1,1.0,0.13513513513513514,BRA,37,3.3333333333333335
2020,ETH,1,1.0,0.10810810810810811,JPN,37,4.0
2024,ETH,1,1.0,0.12121212121212122,FRA,33,4.666666666666667
1896,EUN,0,0.0,0.0,GRE,0,0.0
1900,EUN,0,0.0,0.0,FRA,0,0.0
1904,EUN,0,0.0,0.0,USA,0,0.0
1908,EUN,0,0.0,0.0,GBR,0,0.0
1912,EUN,0,0.0,0.0,SWE,0,0.0
1920,EUN,0,0.0,0.0,BEL,0,0.0
1924,EUN,0,0.0,0.0,FRA,0,0.0
1928,EUN,0,0.0,0.0,NED,0,0.0
1932,EUN,0,0.0,0.0,USA,0,0.0
1936,EUN,0,0.0,0.0,GER,0,0.0
1948,EUN,0,0.0,0.0,GBR,0,0.0
1952,EUN,0,0.0,0.0,FIN,0,0.0
1956,EUN,0,0.0,0.0,AUS,0,0.0
1960,EUN,0,0.0,0.0,ITA,0,0.0
1964,EUN,0,0.0,0.0,JPN,0,0.0
1968,EUN,0,0.0,0.0,MEX,0,0.0
1972,EUN,0,0.0,0.0,FRG,0,0.0
1976,EUN,0,0.0,0.0,CAN,0,0.0
1980,EUN,0,0.0,0.0,URS,0,0.0
1984,EUN,0,0.0,0.0,USA,0,0.0
1988,EUN,0,0.0,0.0,KOR,0,0.0
1992,EUN,3,0.10746173469387754,0.20253164556962025,ESP,474,37.333333333333336
1996,EUN,3,0.0,0.0,USA,0,37.333333333333336
2000,EUN,3,0.0,0.0,AUS,0,37.333333333333336
2004,EUN,3,0.0,0.0,GRE,0,0.0
2008,EUN,3,0.0,0.0,CHN,0,0.0
2012,EUN,3,0.0,0.0,GBR,0,0.0
2016,EUN,3,0.0,0.0,BRA,0,0.0
2020,EUN,2,0.0,0.0,JPN,0,0.0
2024,EUN,2,0.0,0.0,FRA,0,0.0
